[t=0000] #001 | Создано         | Mem:  5 | CPU: 12 | Queue:   0 | Время: 0
[t=0000] #002 | Создано         | Mem: 22 | CPU: 12 | Queue:   0 | Время: 1
[t=0000] #003 | Создано         | Mem:  7 | CPU: 14 | Queue:   0 | Время: 2
[t=0000] #004 | Создано         | Mem: 13 | CPU:  9 | Queue:   0 | Время: 3
[t=0000] #005 | Создано         | Mem: 11 | CPU: 10 | Queue:   0 | Время: 4
[t=0000] #006 | Создано         | Mem: 42 | CPU: 11 | Queue:   0 | Время: 5
[t=0000] #007 | Создано         | Mem: 21 | CPU:  7 | Queue:   0 | Время: 6
[t=0000] #008 | Создано         | Mem:  8 | CPU: 16 | Queue:   0 | Время: 7
[t=0000] #009 | Создано         | Mem:  1 | CPU: 22 | Queue:   0 | Время: 8
[t=0000] #010 | Создано         | Mem: 11 | CPU: 12 | Queue:   0 | Время: 9
[t=0000] #011 | Создано         | Mem: 25 | CPU:  8 | Queue:   0 | Время: 10
[t=0000] #012 | Создано         | Mem:  8 | CPU: 19 | Queue:   0 | Время: 11
[t=0000] #013 | Создано         | Mem:  1 | CPU: 11 | Queue:   0 | Время: 12
[t=0000] #014 | Создано         | Mem:  6 | CPU: 11 | Queue:   0 | Время: 13
[t=0000] #015 | Создано         | Mem: 34 | CPU: 10 | Queue:   0 | Время: 14
[t=0000] #016 | Создано         | Mem:  1 | CPU: 12 | Queue:   0 | Время: 15
[t=0000] #017 | Создано         | Mem:  1 | CPU: 17 | Queue:   0 | Время: 16
[t=0000] #018 | Создано         | Mem:  3 | CPU: 13 | Queue:   0 | Время: 17
[t=0000] #019 | Создано         | Mem: 11 | CPU: 13 | Queue:   0 | Время: 18
[t=0000] #020 | Создано         | Mem:  2 | CPU: 10 | Queue:   0 | Время: 19
[t=0000] #021 | Создано         | Mem:  1 | CPU: 10 | Queue:   0 | Время: 20
[t=0000] #022 | Создано         | Mem: 10 | CPU: 17 | Queue:   0 | Время: 21
[t=0000] #023 | Создано         | Mem:  8 | CPU: 14 | Queue:   0 | Время: 22
[t=0000] #024 | Создано         | Mem:  2 | CPU: 11 | Queue:   0 | Время: 23
[t=0000] #025 | Создано         | Mem: 15 | CPU: 10 | Queue:   0 | Время: 24
[t=0000] #001 | Добавлено       | Mem:  5 | CPU: 12 | Queue:   0 | Памяти зватает, добавлено в 0
[t=0000] #001 | Переключение    | Mem:  5 | CPU: 12 | Queue:   0 | Продолжено после ожидания=0
[t=0003] #001 | Вытеснено       | Mem:  5 | CPU:  9 | Queue:   0 | Квант завершен, 9 осталось выполнить
[t=0003] #002 | Добавлено       | Mem: 22 | CPU: 12 | Queue:   0 | Памяти зватает, добавлено в 3
[t=0003] #001 | Переключение    | Mem:  5 | CPU:  9 | Queue:   0 | Продолжено после ожидания=0
[t=0006] #001 | Вытеснено       | Mem:  5 | CPU:  6 | Queue:   0 | Квант завершен, 6 осталось выполнить
[t=0006] #003 | Добавлено       | Mem:  7 | CPU: 14 | Queue:   0 | Памяти зватает, добавлено в 6
[t=0006] #002 | Переключение    | Mem: 22 | CPU: 12 | Queue:   3 | Продолжено после ожидания=3
[t=0009] #002 | Вытеснено       | Mem: 22 | CPU:  9 | Queue:   3 | Квант завершен, 9 осталось выполнить
[t=0009] #004 | Добавлено       | Mem: 13 | CPU:  9 | Queue:   0 | Памяти зватает, добавлено в 9
[t=0009] #001 | Переключение    | Mem:  5 | CPU:  6 | Queue:   3 | Продолжено после ожидания=3
[t=0012] #001 | Вытеснено       | Mem:  5 | CPU:  3 | Queue:   3 | Квант завершен, 3 осталось выполнить
[t=0012] #005 | Добавлено       | Mem: 11 | CPU: 10 | Queue:   0 | Памяти зватает, добавлено в 12
[t=0012] #003 | Переключение    | Mem:  7 | CPU: 14 | Queue:   6 | Продолжено после ожидания=6
[t=0015] #003 | Вытеснено       | Mem:  7 | CPU: 11 | Queue:   6 | Квант завершен, 11 осталось выполнить
[t=0015] #006 | Добавлено       | Mem: 42 | CPU: 11 | Queue:   0 | Памяти зватает, добавлено в 15
[t=0015] #002 | Переключение    | Mem: 22 | CPU:  9 | Queue:   9 | Продолжено после ожидания=6
[t=0018] #002 | Вытеснено       | Mem: 22 | CPU:  6 | Queue:   9 | Квант завершен, 6 осталось выполнить
[t=0018] #007 | Заблокировано   | Mem: 21 | CPU:  7 | Queue:   0 | Нет памяти, нужно 21, есть 0
[t=0018] #004 | Переключение    | Mem: 13 | CPU:  9 | Queue:   9 | Продолжено после ожидания=9
[t=0021] #004 | Вытеснено       | Mem: 13 | CPU:  6 | Queue:   9 | Квант завершен, 6 осталось выполнить
[t=0021] #007 | Заблокировано   | Mem: 21 | CPU:  7 | Queue:   0 | Нет памяти, нужно 21, есть 0
[t=0021] #001 | Переключение    | Mem:  5 | CPU:  3 | Queue:  12 | Продолжено после ожидания=9
[t=0024] #001 | Завершено       | Mem:  5 | CPU:  0 | Queue:  12 | Общее время в очереди=12, освобождено 5 памяти
[t=0024] #007 | Заблокировано   | Mem: 21 | CPU:  7 | Queue:   0 | Нет памяти, нужно 21, есть 5
[t=0024] #005 | Переключение    | Mem: 11 | CPU: 10 | Queue:  12 | Продолжено после ожидания=12
[t=0027] #005 | Вытеснено       | Mem: 11 | CPU:  7 | Queue:  12 | Квант завершен, 7 осталось выполнить
[t=0027] #007 | Заблокировано   | Mem: 21 | CPU:  7 | Queue:   0 | Нет памяти, нужно 21, есть 5
[t=0027] #003 | Переключение    | Mem:  7 | CPU: 11 | Queue:  18 | Продолжено после ожидания=12
[t=0030] #003 | Вытеснено       | Mem:  7 | CPU:  8 | Queue:  18 | Квант завершен, 8 осталось выполнить
[t=0030] #007 | Заблокировано   | Mem: 21 | CPU:  7 | Queue:   0 | Нет памяти, нужно 21, есть 5
[t=0030] #006 | Переключение    | Mem: 42 | CPU: 11 | Queue:  15 | Продолжено после ожидания=15
[t=0033] #006 | Вытеснено       | Mem: 42 | CPU:  8 | Queue:  15 | Квант завершен, 8 осталось выполнить
[t=0033] #007 | Заблокировано   | Mem: 21 | CPU:  7 | Queue:   0 | Нет памяти, нужно 21, есть 5
[t=0033] #002 | Переключение    | Mem: 22 | CPU:  6 | Queue:  24 | Продолжено после ожидания=15
